Item,Quantity,Link
ESP32,1,https://www.aliexpress.com/item/1005009694232832.html?spm=a2g0o.productlist.main.1.5b8bc3f5B8HmYK&aem_p4p_detail=2026010206593715418004120532860003007959&algo_pvid=0f6d7b6e-c833-4946-b692-b332ab2295a3&algo_exp_id=0f6d7b6e-c833-4946-b692-b332ab2295a3-0&pdp_ext_f=%7B%22order%22%3A%22841%22%2C%22spu_best_type%22%3A%22price%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21CZK%21116.69%21116.69%21%21%215.55%215.55%21%402103867617673659779095273ecb8a%2112000049877962179%21sea%21CZ%213289986290%21X%211%210%21n_tag%3A-29919%3Bd%3A7b8fc234%3Bm03_new_user%3A-29895&curPageLogUid=bPYYmnweQOZ8&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005009694232832%7C_p_origin_prod%3A&search_p4p_id=2026010206593715418004120532860003007959_1
RGB led,1,"https://www.aliexpress.com/item/32977462875.html?spm=a2g0o.detail.pcDetailTopMoreOtherSeller.1.bc530h8F0h8Fwg&gps-id=pcDetailTopMoreOtherSeller&scm=1007.40050.354490.0&scm_id=1007.40050.354490.0&scm-url=1007.40050.354490.0&pvid=548d4612-e56a-4fdf-8fae-a7ef5d644c8a&_t=gps-id:pcDetailTopMoreOtherSeller,scm-url:1007.40050.354490.0,pvid:548d4612-e56a-4fdf-8fae-a7ef5d644c8a,tpp_buckets:668%232846%238111%231996&pdp_ext_f=%7B%22order%22%3A%22121%22%2C%22spu_best_type%22%3A%22order%22%2C%22eval%22%3A%221%22%2C%22sceneId%22%3A%2230050%22%2C%22fromPage%22%3A%22recommend%22%7D&pdp_npi=6%40dis%21CZK%215.05%214.84%21%21%210.24%210.23%21%4021038da617673659386318871e35aa%2166739573349%21rec%21CZ%213289986290%21X%211%210%21n_tag%3A-29919%3Bd%3A7b8fc234%3Bm03_new_user%3A-29895&utparam-url=scene%3ApcDetailTopMoreOtherSeller%7Cquery_from%3A%7Cx_object_id%3A32977462875%7C_p_origin_prod%3A"
Stepper motor,1,https://www.aliexpress.com/item/1005009055737108.html?spm=a2g0o.productlist.main.12.5481btq6btq6y5&algo_pvid=531dc674-cd79-4f5c-ac84-d999836e6280&algo_exp_id=531dc674-cd79-4f5c-ac84-d999836e6280-11&pdp_ext_f=%7B%22order%22%3A%222%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21CZK%219.59%218.23%21%21%213.18%212.73%21%40211b431017673658635258436ef7c5%2112000047739394983%21sea%21CZ%213289986290%21X%211%210%21n_tag%3A-29919%3Bd%3A7b8fc234%3Bm03_new_user%3A-29895&curPageLogUid=D6r5ZVVTdLbr&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005009055737108%7C_p_origin_prod%3A
Breadboard,1,https://www.aliexpress.com/item/1005009799908389.html
RFID module,1,https://www.aliexpress.com/item/1005001565846229.html?spm=a2g0o.order_list.order_list_main.102.5aa718025DVmxi
Buzzer,1,https://www.aliexpress.com/item/1005006260328559.html?spm=a2g0o.productlist.main.1.453422aaKms6QJ&aem_p4p_detail=20260102065614197141902846080003241083&algo_pvid=1067701f-d8a4-4073-b522-5bab83d10f92&algo_exp_id=1067701f-d8a4-4073-b522-5bab83d10f92-0&pdp_ext_f=%7B%22order%22%3A%22319%22%2C%22spu_best_type%22%3A%22order%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21CZK%2127.75%2124.39%21%21%211.32%211.16%21%402103847817673657740211243ef0d6%2112000036509108003%21sea%21CZ%213289986290%21X%211%210%21n_tag%3A-29919%3Bd%3A7b8fc234%3Bm03_new_user%3A-29895&curPageLogUid=u9zf8d5xh8uM&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005006260328559%7C_p_origin_prod%3A&search_p4p_id=20260102065614197141902846080003241083_1

Cables,Idk...Much,https://www.aliexpress.com/item/1005002611994443.html?spm=a2g0o.productlist.main.28.7dc96f23Txzygz&algo_pvid=f0be8999-2c3a-4069-80dc-26b5da2359cc&algo_exp_id=f0be8999-2c3a-4069-80dc-26b5da2359cc-27&pdp_ext_f=%7B%22order%22%3A%2213%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21CZK%2147.63%2147.63%21%21%212.24%212.24%21%4021038e6617651173371191604ebe80%2112000021387001543%21sea%21CZ%213289986290%21X%211%210%21n_tag%3A-29912%3Bd%3A7b8fc234%3Bm03_new_user%3A-29895&curPageLogUid=fx2zB0EGcu5H&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005002611994443%7C_p_origin_prod%3A
